ID,Program,Degree,Concentration,Requirements
119,CSCSEG,"Computer Science, B.S.",Software Engineering,"Computer science students are cautioned to verify course descriptions in the catalog noting where duplication of course credits may be prohibited. Additionally, computer science students will not receive degree credit for the following courses:,CSC 1240,;,ELRC 4006,;,EXST 2201,;,ISDS 2000,,,ISDS 2001,,,ISDS 2010,,,ISDS 2011,,,ISDS 3070,,,ISDS 3075,;,PSYC 4111,; and,SOCL 2201,.,1,- For General Education Natural Science,,(3 cr. hrs.) [Life Science],BIOL 1001,or,BIOL 1201,(3 cr. hrs.) [Physical Science] Select from,PHYS 1201,,,PHYS 2001,,,CHEM 1001,,,CHEM 1201,,,CHEM 1421,,,ASTR 1101,,,GEOL 1001,, or,GEOL 1003,(3 cr. hrs.) A second course science must be selected to complete the sequence in either the BIOL science or physical science.,(2 cr. hrs.) Science lab credits must be wholly associated with the science sequence selected.,2,– APPROVED SEG AREA ELECTIVES (6 hours required):,CSC 4243,,,CSC 4263,,,CSC 4356,,,CSC 4357,,,CSC 4360,,,CSC 4362,,,CSC 4370,,,CSC 4444,,,CSC 4501,,,CSC 4562,,,CSC 4585,,,CSC 4610,,,CSC 4740,,,CSC 4762,,,CSC 4890,;,EE 4859,;,IE 4461,;,ISDS 4111,,,ISDS 4112,,,ISDS 4113,,,ISDS 4120,,,ISDS 4125,,,ISDS 4141,; other electives subject to approval.,3,– The selection of the CSC 2000 - level or above elective (3 cr. hrs.) is not restrictive to topics related to software engineering.,4,– APPROVED TECHNICAL ELECTIVES: Three hours of elective credits must be selected from Group A and three hours of elective credits selected from Group A or Group B.,GROUP A,: 2000-level and above only chosen from CSC, BE, CHE, CE, CM, EE, ENGR, EVEG, IE, ME, PETE, EMS, ENVS, OCS, MATH, ECON, FIN, ASTR, BIOL, CHEM, GEOG, GEOL, PHYS,,ISDS 3100,,,ISDS 3105,,,ISDS 3120,, ISDS 4+++.,GROUP B,:,ART 2050,,,ART 2055,,,ART 2210,,,ART 2220,,,ART 2230,, ,,ART 2551,,,ART 4020,,,ART 4050,,,ART 4055,,,ART 4059,,,ART 4230,,,ART 4240,,,ART 4290,,,ART 4550,,,ART 4560,,,ART 7250,,,ART 7255,,,ARTH 4480,,,ARTH 4482,,,ARTH 4484,,,MC 2035,,,MC 3031,,,MC 4002,,,MC 4015,,,MC 4260,,,MC 4550,,,MC 4600,,,MC 4720,,,MUS 2745,,,MUS 4744,,,MUS 4745,,,MUS 4746,,,MUS 4748,,,ENGL 2009,,,ENGL 2231,,,ENGL 4000,,,ENGL 4009,,,ENGL 7109,.,5,– Credit will not be applied to the degree for courses with overlapping content. For clarification, contact the division’s academic advisor. Students who have completed the prerequisites may substitute:,EE 3740,for,CSC 2259,but not both,EE 3755,for,CSC 3501,but not both,MATH 3355,or,EE 3150,or,EXST 4050,for,IE 3302,."
120,ACES,"Coastal Environmental Science, B.S. CES.",Applied Coastal Environmental Science,"1,- Approved Coastal Environmental Science electives - see,below,."
121,ESR,"Coastal Environmental Science, B.S. CES.",Environmental Science and Research,"1,- Approved Coastal Environmental Science electives - see,below,."
122,DELTA,"Coastal Environmental Science, B.S. CES.",Deltaic Science,"*Approved Deltaic Sciences (DELTA) Electives include:,ARCH 4000 Delta Research Colloquium (1),,,ARCH 4062 Urban Design and Planning (3),,,ARCH 4072 Community Design Studies (3),,,ARCH 4444 The D.E.L.T.A. Studio (4),,,EVEG 3050 Global Issues in Environmental Engineering (1),,,GEOG 3001 Geography of Louisiana (3),,,GEOG 4025 Fluvial Geomorphology (3),,,GEOG 4029 Coastal Resources and Management (3),,,GEOL 4012 Introduction to Micropaleontology (3),,,GEOL 4023 Coastal and Shallow-Marine Depositional Systems (3),,,GEOL 4164 Deltaic Geology (3),,,OCS 3200 Hurricanes and Typhoons (3),,,OCS 4006 Wetland Field Experience - Florida Everglades, Mangroves, and Seagrasses (3),,,OCS 4024 Coastal Morphodynamics (3),,,OCS 4060 Introductory Estuarine Dynamics (3),."
123,ACES,"Coastal Environmental Science, B.S. CES.",Applied Coastal Environmental Science,"1,- Approved Coastal Environmental Science electives - see,below,."
124,,"Marketing, BS",Area of Concentration,"1 - GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2 - Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,, or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3 - Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,, or,ISDS 1100,.,4 - Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,, or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,5 - BUSINESS ELECTIVES: to be selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,6 - ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”,MARKETING ELECTIVES: see Marketing advisor for list of Marketing Electives.,DIGITAL MARKETING CONCENTRATION ELECTIVES: Students must complete,MKT 3421,,,MKT 3501,, and,MKT 4440,to satisfy the requirements of the concentration."
125,,"Marketing, BS",Area of Concentration,"1 - GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2 - Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,, or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3 - Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,, or,ISDS 1100,.,4 - Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,, or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,5 - BUSINESS ELECTIVES: to be selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,6 - ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”,MARKETING ELECTIVES: see Marketing advisor for list of Marketing Electives.,DIGITAL MARKETING CONCENTRATION ELECTIVES: Students must complete,MKT 3421,,,MKT 3501,, and,MKT 4440,to satisfy the requirements of the concentration.,1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,, or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,4,- Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,5,- BUSINESS ELECTIVES: to be selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,6 - ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”,MARKETING ELECTIVES: see Marketing advisor for list of Marketing Electives.,MARKETING ANALYTICS CONCENTRATION ELECTIVES: Students must complete,MKT 3501,,,MKT 4501,, and either,MKT 4480,or,MKT 4481,to satisfy the requirements of the concentration."
126,,"Marketing, BS",Area of Concentration,"1 - GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2 - Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,, or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3 - Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,, or,ISDS 1100,.,4 - Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,, or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,5 - BUSINESS ELECTIVES: to be selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,6 - ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”,MARKETING ELECTIVES: see Marketing advisor for list of Marketing Electives.,DIGITAL MARKETING CONCENTRATION ELECTIVES: Students must complete,MKT 3421,,,MKT 3501,, and,MKT 4440,to satisfy the requirements of the concentration.,1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,, or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,4,- Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,5,- BUSINESS ELECTIVES: to be selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,6 - ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”,MARKETING ELECTIVES: see Marketing advisor for list of Marketing Electives.,MARKETING ANALYTICS CONCENTRATION ELECTIVES: Students must complete,MKT 3501,,,MKT 4501,, and either,MKT 4480,or,MKT 4481,to satisfy the requirements of the concentration.,1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,4,- Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,5,- BUSINESS ELECTIVES: to be selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,6,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”,MARKETING PROFESSIONAL SALES CONCENTRATION ELECTIVES: Students must complete,MKT 3427,,,MKT 4423,, and either,MKT 4478,or,MKT 4479,to satisfy the requirements of the concentration."
127,HRM,"Management, BS",Human Resource Management,"1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,or,CMST 2064,.,Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,4,- APPROVED MANAGEMENT ELECTIVES: A list of approved electives is available from the Rucks Department of Management and is posted on the Rucks Department of Management website.,BUSINESS ELECTIVES: to be selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT and ISDS.,ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”,HUMAN RESOURCE MANAGEMENT CONCENTRATION COURSES: To be selected from,MGT 4321,,,MGT 4322,,,MGT 4323,,,MGT 4500,, and,MGT 4523,."
128,INTMGT,"Management, BS",International Management,"1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,, or,CMST 2064,Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,, or,CMST 4113,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,, or,ISDS 1100,4,- APPROVED MANAGEMENT ELECTIVES: See management advisor for list of Management electives.,BUSINESS ELECTIVES: to include,MGT 3320,and 6 hours selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT and ISDS.,INTERNATIONAL MANAGEMENT CONCENTRATION COURSES: To be selected from,MGT 4430,,,MGT 4440,,,MGT 4450,, and,MGT 4820,5,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”"
129,STRLD,"Management, BS",Strategic Leadership,"1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,, or,CMST 2064,Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,, or,CMST 4113,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,, or,ISDS 1100,4,- APPROVED MANAGEMENT ELECTIVES: See management advisor for list of Management electives.,BUSINESS ELECTIVES: to be selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT and ISDS.,STRATEGIC LEADERSHIP CONCENTRATION COURSES: To be selected from,MGT 3211,,,MGT 4820,,,MGT 4830,, and,MGT 4840,5,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”"
130,ISAA,"Information Systems & Analytics, BS",Analytics,"1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,,,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,4,-  Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,, or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,5,- BUSINESS ELECTIVES: select from the 3000 or 4000 level offerings of the following departments – ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,6,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.” A list of approved ISDS electives is available from the Stephenson Department of Entrepreneurship & Information Systems.,ANALYTICS CONCENTRATION COURSES: to be selected from,ISDS 3200 Advanced Business Programming,,,ISDS 4100 Information Systems Consulting,,,ISDS 4112 Data Warehousing,,,ISDS 4141 Data Mining & Artificial Intelligence for Business,,,ISDS 4180 Business Analysis in Practice,."
131,ISACR,"Information Systems & Analytics, BS",Cyber Risk,"1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three-hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,,,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,4,- Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,, or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,5,- BUSINESS ELECTIVES: select from the 3000 or 4000 level offerings of the following departments – ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,6,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.” A list of approved ISDS electives is available from the Stephenson Department of Entrepreneurship & Information Systems.,CYBER RISK CONCENTRATION COURSES: to be selected from,ISDS 4096 Cyber Risk Management,,,ISDS 4100 Information Systems Consulting,,,ISDS 4123 Computer and Networking Security,,,ISDS 4244 Information Systems Auditing"
132,ISADSC,"Information Systems & Analytics, BS",Digital Services & Consulting,"1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three-hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,,,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,4,- Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,,,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,5,- BUSINESS ELECTIVES: select from the 3000 or 4000 level offerings of the following departments – ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,6,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.” A list of approved ISDS electives is available from the Stephenson Department of Entrepreneurship & Information Systems.,DIGITAL SERVICES & CONSULTING CONCENTRATION COURSES: to be selected from,ISDS 3120 Management of the IT Function,,,ISDS 4100 Information Systems Consulting,,,ISDS 4111 Enterprise Systems,,,ISDS 4130 Cloud Computing for Business II"
133,,"International Trade and Finance, B.S.",Area of Concentration,"1,- If postgraduate study in economics is anticipated, it is strongly recommended that the student should pursue a minor in mathematics.,2,-GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,3,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,4,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,5,-  Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,6,- BUSINESS ELECTIVES: to be selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”,7,- International Requirement: Choose TWO (total 6 hours) from,FIN 3718,,,ISDS 4160,,,POLI 4042,,,POLI 4044,,,POLI 4046,,,POLI 4050,."
134,,"Economics, BS",Area of Concentration,"1,- If postgraduate study in economics is anticipated, it is strongly recommended that the student should pursue a minor in mathematics.,2,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,3,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,4,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,5,-  Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,6,- BUSINESS ELECTIVES: to be selected from the 3000 or 4000 level offerings of the following departments: ACCT, BADM, BLAW, ECON, ENTR, FIN, GBUS, MGT, MKT, and ISDS.,7,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”,ECON ELECTIVES: See department advisor for more details."
135,BANLYT,"General Business, B.S.",Business Analytics,"1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,, or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,, or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,4,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,5,- General Business electives must be 3000/4000 level and selected from the offerings of at least four of the following departments: Accounting, Economics, Entrepreneurship & Information Systems, Finance, Management, and Marketing. For the BUSINESS ANALYTICS CONCENTRATION, students must complete three courses from the following:,GBUS 3301,,,GBUS 3302,, and,GBUS 3304,. General Business majors must earn,GBUS 3061,to apply as a General Business elective or an Oral and Written Communication Requirement.,6,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”"
136,DGMKT,"General Business, B.S.",Digital Marketing,"1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,, or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,, or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,4,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,5,- General Business electives must be 3000/4000 level and selected from the offerings of at least four of the following departments: Accounting, Economics, Entrepreneurship & Information Systems, Finance, Management, and Marketing. For the DIGITAL MARKETING CONCENTRATION, students must complete three courses from the following:,MKT 3421,,,MKT 3500,,,MKT 3501,, and,MKT 4440,. General Business majors must earn,GBUS 3061,to apply as a General Business elective or an Oral and Written Communication Requirement.,6,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”"
137,HRM,"General Business, B.S.",Human Resource Management,"1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,, or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,, or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,4,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,5,- General Business electives must be 3000/4000 level and selected from the offerings of at least four of the following departments: Accounting, Economics, Entrepreneurship & Information Systems, Finance, Management, and Marketing. For the HUMAN RESOURCE MANAGEMENT CONCENTRATION, students must complete three courses from the following:,MGT 3320,,,MGT 4321,,,MGT 4322,,,MGT 4323,,,MGT 4500,, and,MGT 4523,. General Business majors must earn,GBUS 3061,to apply as a General Business elective or an Oral and Written Communication Requirement.,6,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”"
138,INTECH,"General Business, B.S.",Information Technology Management,"1,- GENERAL EDUCATION NATURAL SCIENCE REQUIREMENT: If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Oral and Written Communication Requirement 1: Choose from,CMST 2060,,,CMST 2061,or,CMST 2064,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,3,- Oral and Written Communication Requirement 2: Choose from,CMST 2060,,,CMST 2061,or,CMST 4113,.,A Communication Intensive (C-I) course may be substituted for the Oral and Written Communication Requirement with permission from an academic advisor.,4,- Business students cannot receive credit for,ACCT 2000,,,ECON 2030,,,FIN 3715,or,ISDS 1100,.,5,- General Business electives must be 3000/4000 level and selected from the offerings of at least four of the following departments: Accounting, Economics, Entrepreneurship & Information Systems, Finance, Management, and Marketing. For the INFORMATION TECHNOLOGY MANAGEMENT CONCENTRATION, students must complete three courses from the following:,ISDS 3001,,,ISDS 3002,, and,ISDS 3003,. General Business majors must earn,GBUS 3061,to apply as a General Business elective or an Oral and Written Communication Requirement.,6,- ELECTIVES: See “,Electives,” under “,Degree Requirements of the College,.”"
139,CNSVBL,"Natural Resource Ecology & Management, B.S.",Conservation Biology,"1,- Students may elect to take,MATH 1550,/,MATH 1551,in place of,MATH 1431,.,2,- Conservation Biology area of concentration courses:,REQUIRED,:,CHEM 2060,/,CHEM 2261,/,PHYS 2001,,,BIOL 4015,/,RNR 4015,,,ECON 4320,or,RNR 4038,,,RNR 2031,/,RNR 2072,,,RNR 3018,,,RNR 4103,,,RNR 4107,,,RNR 4150,. Select one course from the following:,RNR 4023,or,RNR 4040,. Select 9 hours from:,BIOL 4017,,,EMS 3040,,,GEOG 4078,,,OCS 3103,,,OCS 4600,,,RNR 4268,.,3,- Students seeking federal employment following graduation should consult their academic advisor about federal requirements for animal and plant taxonomy courses."
140,ECRSTR,"Natural Resource Ecology & Management, B.S.",Ecological Restoration,"1,- Students may take,MATH 1550,/,MATH 1551,in place of,MATH 1431,.,2,- Ecological Restoration area of concentration courses:,REQUIRED,:,CHEM 2060,/,CHEM 2261,/,PHYS 2001,,,BIOL 4015,/,RNR 4015,,,BIOL 4017,,,EMS 4010,/,ENVS 4010,,,OCS 4565,,,RNR 4038,,,RNR 4103,,,RNR 4107,. Select one course from:,RNR 4023,or,RNR 4040,. Select 16 hours from,3,:,AGRO 3040,,,BIOL 4041,,,BIOL 4055,,,BIOL 4141,,,BIOL 4142,,,BIOL 4146,,,GEOG 2050,,,GEOL 1001,,,ENVS 4477,,,OCS 4165,,,OCS 4560,,,RNR 2003,,,RNR 2031,/,RNR 2072,,,RNR 3005,,,RNR 3018,,,RNR 3106,,,RNR 3108,,,RNR 4001,,,RNR 4011,,,RNR 4013,,,RNR 4032,,,RNR 4033,,,RNR 4150,, or,RNR 4900,.,3,- Students seeking federal employment following graduation should consult their academic advisor about federal requirements for animal and plant taxonomy courses."
141,,"Natural Resource Ecology & Management, B.S.",Fisheries and Aquaculture,"1,-  Students may elect to take,MATH 1550,/,MATH 1551,in place of,MATH 1431,.,2,-  Fisheries and Aquaculture area of concentration courses,3,:,REQUIRED,:,CHEM 2060,/,CHEM 2261,/,PHYS 2001,,,BIOL 2051,,,RNR 2002,,,RNR 4022,,,RNR 4023,,,RNR 4037,,,RNR 4040,,,RNR 4061,*,,RNR 4103,,,RNR 4106,,,RNR 4107,,,RNR 4145,.,*Students take 1 hour of,RNR 4061,.,3,- Students seeking federal employment following graduation should consult their academic advisor about federal requirements for animal and plant taxonomy courses."
