ID,Program,degree,type,concentration,credit,hours,restrictions
162,Animal,"Animal Sciences, M.S.",M.S.,,"(SASCI) The departmental-level academic course plan for each student will be developed in consultation with the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied. At least one of the graduate faculty members in addition to the major advisor must be from the School. Both thesis and non-thesis options are available. The thesis option requires a thesis research project; a minimum of 30 hours of credit at the graduate level must be earned including a maximum of six hours of credit for the thesis ( ANSC 8000   ). The curricular requirements include: For the non-thesis option, a minimum of 36 hours of coursework is required; at least half of the 36 hours (18 hours or more) must be at the 7000-level. Up to six hours of  ANSC 7061 Research in Animal Science (1-6)    may be applied to the degree and towards the 7000 level requirement. All coursework must be approved by the student’s examining committee. Thesis option students are required to present a 30-45 minute public seminar in defense of their thesis research prior to a comprehensive final oral exam with the student’s examining committee. Non-thesis option students must pass a comprehensive final oral exam administered by the student’s examining committee ; a written portion of the final exam may also be required by the committee.",120,
163,Agricultural,"Agricultural & Extension Education, Ph.D.",Ph.D.,,"(PAEE) The PhD program requires a minimum of 62 hours above the Master’s degree, including a research core of 20 hours, six additional hours of research coursework, 15 hours of AEEE graduate courses, 15 hours in a subject matter core selected by the student under the committee chair’s advisement, and 12 dissertation research hours. Subject matter core areas are agricultural education, community and extension education, and international agricultural education.  For more information please contact the  Department of Agricultural and Extension Education and Evaluation   .",120,
164,Agricultural,"Agricultural Economics, Ph.D.",Ph.D.,,"(PAGEC) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate student committee. The committee will include the student’s committee chair and at least two additional members of the graduate faculty from the Department of Agricultural Economics & Agribusiness, such that the requirements of the LSU Graduate School for graduate committees are satisfied. The dissertation-based degree requires 57 hours of credit at the graduate level, including a maximum of 12 hours of credit for the dissertation project. The curricular requirements include: The student must pass a qualifying exam, and general written and oral exams (collectively termed the General Defense). These exams are designed to test the student’s knowledge of the theoretical and empirical applications of economics as covered in the core courses. A comprehensive final oral exam and defense of the dissertation is also required.",120,
165,Agricultural,"Agricultural Economics, M.S.",M.S.,,"(SAGEC) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate student committee. The committee will include the student’s committee chair and at least two additional members of the graduate faculty from the Department of Agricultural Economics & Agribusiness, such that the LSU Graduate School requirements for graduate committees are satisfied. The degree is a thesis/non-thesis degree requiring a thesis/special project. For a thesis degree, 33 hours of credit at the graduate level must be earned, including a maximum of six hours of credit for thesis research. For a non-thesis degree, 36 hours of credit at the graduate level must be earned, including a maximum of three hours of credit for special project research. The curricular requirements include: The student must also pass a comprehensive oral final exam and, if thesis-track, an oral defense of the thesis research.",120,
166,"Accounting,","Accounting, Ph.D.",Ph.D.,,(PACCT) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements of the LSU Graduate School for graduate committees are satisfied. The degree is a thesis degree that requires the student to complete a dissertation. The student must earn 54 hours of credit at the graduate level including a maximum of six hours of credit for the dissertation. The curricular requirements include: The student must pass a comprehensive written exam within three years of beginning the program. The student must pass an oral dissertation defense administered by the dissertation committee chair.,120,
167,"Accounting,","Accounting, MAcc",MAcc,,(SACCT) The departmental-level academic course plan for each student will be developed in consultation with and approved by the Director of Graduate Studies-MAcc program. The degree is non-thesis and requires students to earn 30 hours of credit at the graduate level. The curricular requirements include:,120,
168,Veterinary,"Veterinary Medicine, D.V.M.",D.V.M.,,See “ The Professional DVM Program in Veterinary Medicine   ”.,120,
169,Physics,Physics Minor,Minor,,"An undergraduate  minor in physics  is available. Required courses are:  PHYS 1201   ,  PHYS 1202   ,  PHYS 1208   ,  PHYS 1209    (or  PHYS 2110   ,  PHYS 2112   ,  PHYS 2113   ,  PHYS 2108   ,  PHYS 2109   ), and  PHYS 2221   , plus three additional courses, for a total of 22-23 hours. The three additional courses, at least one of which must be at the 4000 level, must be chosen from the following:  PHYS 2203   ,  PHYS 2231   ,  PHYS 2411   ,  PHYS 3098   , or any three credit hour PHYS or ASTR course numbered from 4100 to 4299.",120,
170,Nuclear,Nuclear Science Minor,Minor,,Undergraduate students on this campus may choose to  minor in nuclear science . The following conditions must be met:,120,
171,ASTR,"Physics, B.S.",Major,Astronomy,"{""Semester 1"": [""ENGL 1001"", ""MATH 1550"", ""PHYS 1201"", ""PHYS 1208"", ""Arts""], ""Semester 2"": [""MATH 1552"", ""PHYS 1202"", ""PHYS 1209"", ""Humanities"", ""Humanities""], ""Semester 3"": [""ASTR 1101"", ""ENGL 2000"", ""MATH 2057"", ""PHYS 2203"", ""PHYS 2207"", ""CSC 1253""], ""Semester 4"": [""ASTR 1102"", ""MATH 2090"", ""PHYS 2221"", ""PHYS 3098"", """", ""BIOL 1001"", ""BIOL 1201""], ""Semester 5"": [""ASTR 4221"", ""PHYS 2231"", ""PHYS 2411"", ""PHYS 4123"", ""Social""], ""Semester 6"": [""ASTR 4222"", ""PHYS 4132"", ""PHYS 4125"", ""PHYS 4141"", ""Foreign Language Course (4)""], ""Semester 7"": [""ASTR 4261"", ""Social"", ""Approved Electives (6)""], ""Semester 8"": [""PHYS 4135"", ""Approved Electives (11)""]}",120,
172,MPHYS,"Physics, B.S.",Major,Medical Physics,"{""Semester 1"": [""ENGL 1001"", ""MATH 1550"", ""PHYS 1208"", ""PHYS 1201"", ""Arts""], ""Semester 2"": [""MATH 1552"", ""PHYS 1202"", ""PHYS 1209"", ""Humanities"", ""Humanities""], ""Semester 3"": [""MATH 2057"", ""ENGL 2000"", ""CHEM 1201"", ""PHYS 2203"", ""PHYS 2207"", ""CSC 1253""], ""Semester 4"": [""CHEM 1202"", ""CHEM 1212"", ""MATH 2090"", ""PHYS 2221"", ""MEDP 2051""], ""Semester 5"": [""CHEM 2060"", ""BIOL 1201"", ""PHYS 2231"", ""PHYS 2411"", ""Social""], ""Semester 6"": [""BIOL 1202"", ""PHYS 3098"", ""NS 4411"", ""PHYS 4132"", ""Foreign Language Course (4)""], ""Semester 7"": [""PHYS 4123"", ""MEDP 4352"", ""MEDP 4351"", ""Social"", ""Approved Electives (6)""], ""Semester 8"": [""BIOL 2160"", ""PHYS 4141"", ""PHYS 4125"", ""Approved Elective (3)""]}",120,
173,PHYS,"Physics, B.S.",Major,Physics,"{""Semester 1"": [""ENGL 1001"", ""MATH 1550"", ""PHYS 1201"", ""PHYS 1208"", ""Arts""], ""Semester 2"": [""MATH 1552"", ""PHYS 1202"", ""PHYS 1209"", ""Humanities"", ""Humanities""], ""Semester 3"": [""MATH 2057"", ""ENGL 2000"", ""PHYS 2203"", ""PHYS 2207"", ""CSC 1253"", ""Approved Electives (3)""], ""Semester 4"": [""MATH 2090"", ""PHYS 2221"", ""PHYS 3098"", ""CHEM 1201"", """", ""BIOL 1001"", ""BIOL 1201""], ""Semester 5"": [""PHYS 4123"", ""CHEM 1202"", ""PHYS 2231"", ""PHYS 2411"", ""Social""], ""Semester 6"": [""PHYS 4132"", ""PHYS 4125"", ""PHYS 4141"", ""Foreign Language Course (4)""], ""Semester 7"": [""PHYS 4142"", ""PHYS 4000-Level Course (3)[2]"", ""Social"", ""Approved Electives (6)""], ""Semester 8"": [""PHYS 4399"", ""PHYS 4000-Level Course (3)[2]"", ""Approved Electives (8)""]}",120,
174,PHYSD,"Physics, B.S.",Major,Physics & Second Discipline,"{""Semester 1"": [""ENGL 1001"", ""MATH 1550"", ""PHYS 1201"", ""PHYS 1208"", ""Arts""], ""Semester 2"": [""MATH 1552"", ""PHYS 1202"", ""PHYS 1209"", ""Humanities"", ""Humanities""], ""Semester 3"": [""MATH 2057"", ""PHYS 2203"", ""PHYS 2207"", ""ENGL 2000"", ""CSC 1253"", ""Area of Concentration Course (3)[2]""], ""Semester 4"": [""MATH 2090"", ""PHYS 2221"", ""PHYS 3098"", ""Area of Concentration Course (3)[2]"", """", ""BIOL 1001"", ""BIOL 1201""], ""Semester 5"": [""PHYS 2231"", ""PHYS 2411"", ""Area of Concentration Course (3)[2]"", ""Social"", ""Approved Elective (3)""], ""Semester 6"": [""PHYS 4125"", ""PHYS 4132"", ""Foreign Language Course (4)"", ""Area of Concentration Course (3)[2]""], ""Semester 7"": [""Social"", ""Area of Concentration Courses (6)[2]"", ""Approved Electives (6)""], ""Semester 8"": [""Area of Concentration Courses (6)[2]"", ""Approved Electives (8)""]}",120,
175,PHYSSE,"Physics, B.S.",Major,Secondary Education - Physics,"{""Semester 1"": [""ENGL 1001"", ""SCI 2010"", ""MATH 1550"", ""PHYS 1201"", ""PHYS 1208""], ""Semester 2"": [""SCI 2011"", ""MATH 1552"", ""PHYS 1202"", ""PHYS 1209"", ""Humanities"", ""Arts""], ""Semester 3"": [""EDCI 2500"", ""MATH 2057"", ""PHYS 2203"", ""ENGL 2000"", ""PHYS 2207"", ""CSC 1253""], ""Semester 4"": [""EDCI 3550"", ""MATH 2090"", ""PHYS 2221"", ""PHYS 3098"", """", ""BIOL 1001"", ""BIOL 1201""], ""Semester 5"": [""PHYS 2231"", ""PHYS 4123"", """", ""ASTR 1401"", ""CHEM 1201"", """", ""Foreign Language Course (4)"", """", ""BIOL 4005"", ""CHEM 4005"", ""PHYS 4005""], ""Semester 6"": [""ASTR 1402"", ""CHEM 1202"", """", ""Humanities"", ""Social""], ""Semester 7"": [""EDCI 4500"", ""Humanities"", ""PHYS 2411"", ""Approved Electives (6)""], ""Semester 8"": [""EDCI 4006"", ""EDCI 3136""]}",120,
176,Mathematics,Mathematics Minor,Minor,,"The requirements for an undergraduate  minor in mathematics  are as follows:  MATH 1550     (or  MATH 1551   ),  MATH 1552    (or  MATH 1553   ),  MATH 2057    (or  MATH 2058   ),  MATH 2085    (or  MATH 2070    or  MATH 2090   ), and at least nine semester hours at the 3000 or 4000 level, but excluding  MATH 3903    and  MATH 4005   .",120,
177,MACTSC,"Mathematics, B.S.",Major,Actuarial Science,"{""Semester 1"": [""ENGL 1001"", """", ""MATH 1550"", ""MATH 1551"", """", ""Approved Elective (3)"", ""course"", ""Natural Sciences Lab in same course sequence (0-1)""], ""Semester 2"": [""MATH 1552"", ""MATH 1553"", """", ""MATH 2020"", ""Approved Elective (3)"", ""course"", ""Natural Sciences Lab in same course sequence (2-1)[2]""], ""Semester 3"": [""MATH 2057"", ""MATH 2058"", """", ""MATH 3050"", ""EXST 2201"", """", ""ENGL 2000"", ""Approved HNRS courses (3)""], ""Semester 4"": [""MATH 2085"", ""MATH 3355"", ""ACCT 2001"", ""EXST 3201"", ""ECON 2030""], ""Semester 5"": [""MATH 4056"", ""Approved Elective (3)"", """", ""FIN 3715"", ""FIN 3716"", """", ""(3)"", ""Math course at 2000-level or higher (3)[4]""], ""Semester 6"": [""Approved Electives (14)""], ""Semester 7"": [""Foreign Language Course (4)"", ""course"", ""(3)"", ""Approved Elective (2)""], ""Semester 8"": [""MATH 4040"", ""MATH 4041"", ""MATH 4045"", ""MATH 4046"", """", ""(English/honors"", ""course"", ""Approved Elective (3)""]}",120,
178,MACMP,"Mathematics, B.S.",Major,Computational Mathematics,"{""Semester 1"": [""ENGL 1001"", """", ""MATH 1550"", ""MATH 1551"", """", ""Foreign Language Course (4)"", ""course"", ""Natural sciences lab in same course sequence (0-1)""], ""Semester 2"": [""MATH 1552"", ""MATH 1553"", """", ""course"", ""course"", ""Natural science lab in same course sequence (2-1)[2]"", ""(3)""], ""Semester 3"": [""MATH 2057"", ""MATH 2058"", """", ""MATH 2020"", ""MATH 2025"", ""MATH 2030"", ""MATH 2035"", """", ""MATH 2060"", ""course"", ""course"", ""(English/honors""], ""Semester 4"": [""ENGL 2000"", ""HNRS courses from the General Education \u201cEnglish Composition\u201d list (3)"", """", ""MATH 2085"", ""Math course at 2000-level or higher[ ]"", ""(3)"", ""Approved Elective (3)""], ""Semester 5"": [""MATH 2065"", ""MATH 4065"", ""MATH 4064"", ""Approved electives (6)""], ""Semester 6"": [""MATH 4031"", ""MATH 4066"", ""Area of Concentration Course (3)[6]"", ""Approved electives (6)""], ""Semester 7"": [""MATH 4035"", ""MATH 4032"", """", ""Approved electives (6)"", ""Area of Concentration Course (3)""], ""Semester 8"": [""MATH 4020"", ""Area of Concentration Course (3)[6]"", ""Approved electives (8)""]}",120,
179,DATASC,"Mathematics, B.S.",Major,Data Science,"{""Semester 1"": [""ENGL 1001"", ""Foreign language course (4)"", ""course"", ""Natural science lab (0-1)[3]""], ""Semester 2"": [""MATH 2020"", ""course"", ""Natural Sciences Lab course sequence (2-1)[2]"", ""(3)""], ""Semester 3"": [""MATH 2060"", ""MATH 2035"", ""course"", ""(English/Honors"", ""course""], ""Semester 4"": [""MATH 2085"", ""MATH 3355"", ""course"", ""(3)""], ""Semester 5"": [""MATH 4064"", ""MATH 4065"", ""Approved Electives (9)""], ""Semester 6"": [""MATH 4023"", ""MATH 4025"", ""Approved Elective (9)""], ""Semester 7"": [""MATH 4056"", ""Approved Elective (8)""], ""Semester 8"": [""Approved Elective (14)""]}",120,
180,MATH,"Mathematics, B.S.",Major,Mathematics,"{""Semester 1"": [""MATH 1550"", ""MATH 1551"", """", ""ENGL 1001"", ""Foreign Language Course (4)"", ""course"", ""Natural science lab in same course sequence (0-1)""], ""Semester 2"": [""MATH 1552"", ""MATH 1553"", """", ""course"", ""course"", ""Natural sciences lab (2-1)[1]"", ""(3)""], ""Semester 3"": [""MATH 2057"", ""MATH 2058"", """", ""MATH 2020"", ""MATH 2025"", ""MATH 2030"", ""MATH 2035"", """", ""MATH 2060"", ""Approved elective (3)"", ""course"", ""(English/honors""], ""Semester 4"": [""ENGL 2000"", ""HNRS courses from the General Education \u201cEnglish Composition\u201d list (3)"", """", ""MATH 2085"", ""Math course at 2000-level or higher (3)[4]"", ""(3)"", ""Approved Elective (3)""], ""Semester 5"": [""MATH 4200"", ""Approved elective (3)"", ""course"", ""Area of Concentration Courses (3)[5]"", ""MATH 4031""], ""Semester 6"": [""MATH 4032"", ""MATH 4035"", ""MATH 4036"", """", ""Approved electives (6)"", ""Area of Concentration Course (3)[5]""], ""Semester 7"": [""Approved electives (12)""], ""Semester 8"": [""Area of concentration course (3)[5]"", ""Approved electives (11)""]}",120,
181,MASD,"Mathematics, B.S.",Major,Mathematics and a Second Discipline,"{""Semester 1"": [""MATH 1550"", ""MATH 1551"", """", ""ENGL 1001"", ""Foreign Language Course (4)"", ""course"", ""Natural science lab in same course sequence (0-1)""], ""Semester 2"": [""MATH 1552"", ""MATH 1553"", """", ""course"", ""course"", ""Natural science lab in same course sequence (2-1)[2]"", ""(3)""], ""Semester 3"": [""MATH 2057"", ""MATH 2058"", """", ""MATH 2020"", ""MATH 2025"", ""MATH 2030"", ""MATH 2035"", """", ""MATH 2060"", ""Second Discipline Course (3)[4]"", ""course"", ""(English/honors""], ""Semester 4"": [""ENGL 2000"", ""HNRS courses from the General Education \u201cEnglish Composition\u201d list (3)"", """", ""MATH 2085"", ""Math course at 2000-level or higher[ ]"", ""(3)"", ""Second Discipline Course (3)""], ""Semester 5"": [""MATH 4023"", ""MATH 4200"", """", ""course"", ""Area of Concentration Course (3)[6]"", ""Second Discipline Course (3)[4]"", ""Approved elective (3)""], ""Semester 6"": [""Area of Concentration Course (3)[6]"", ""Second Discipline Courses (6)[4]"", ""Approved elective (3)""], ""Semester 7"": [""Area of Concentration Course (3)[6]"", ""Second Discipline Course (3)[4]"", ""Approved Electives (6)""], ""Semester 8"": [""Second Discipline Course (3)[4]"", ""Approved electives (11)""]}",120,
182,MATHST,"Mathematics, B.S.",Major,Mathematical Statistics,"{""Semester 1"": [""ENGL 1001"", """", ""MATH 1550"", ""MATH 1551"", """", ""Foreign Language Course (4)"", ""course"", ""Natural sciences lab in same course sequence (0-1)[2]""], ""Semester 2"": [""MATH 1552"", ""MATH 1553"", """", ""course"", ""Natural sciences lab in same course sequence (2-1)[2]"", ""(3)"", ""course""], ""Semester 3"": [""MATH 2057"", ""MATH 2058"", """", ""MATH 2020"", ""MATH 2025"", ""MATH 2030"", ""MATH 2035"", """", ""EXST 2201"", ""course"", ""(English/honors""], ""Semester 4"": [""ENGL 2000"", ""HNRS courses from the General Education \u201cEnglish Composition\u201d list (3)"", """", ""EXST 3201"", ""MATH 2085"", ""Math course at 2000-level or higher (3)"", ""Approved Elective (3)""], ""Semester 5"": [""MATH 3355"", ""Approved Electives (10)"", ""course""], ""Semester 6"": [""EXST 4012"", ""MATH 4031"", ""(3)"", ""Approved Electives (6)""], ""Semester 7"": [""MATH 4056"", """", ""MATH 4020"", ""MATH 4997"", ""EXST 4025"", ""EXST 4087"", ""EXST 4142"", """", ""Approved Electives (3)""], ""Semester 8"": [""MATH 4058"", ""Approved Electives (11)""]}",120,
183,MATHSE,"Mathematics, B.S.",Major,Secondary Education - Mathematics,"{""Semester 1"": [""MATH 1550"", ""MATH 1551"", """", ""ENGL 1001"", ""SCI 2010"", ""(3)"", ""course"", ""Natural sciences lab in same course sequence (0-1)[3]""], ""Semester 2"": [""MATH 1552"", ""MATH 1553"", """", ""SCI 2011"", ""course"", ""course"", ""Natural science lab in same course sequence (2-1)[3]"", ""Approved elective (3)""], ""Semester 3"": [""MATH 2057"", ""MATH 2058"", """", ""EDCI 2500"", ""MATH 2060"", ""course"", ""(English/honors"", ""MATH 2020""], ""Semester 4"": [""ENGL 2000"", ""HNRS courses from the General Education \u201cEnglish Composition\u201d list (3)"", """", ""EDCI 3550"", ""MATH 2085"", ""(3)"", ""Math course at 2000-level or higher (3)[7]""], ""Semester 5"": [""MATH 3002"", ""MATH 3355"", ""MATH 4031"", ""Foreign Language Course (4)"", """", ""BIOL 4005"", ""CHEM 4005"", ""PHYS 4005""], ""Semester 6"": [""MATH 4700"", ""MATH 4158"", """", ""MATH 4005"", ""Approved electives (6)""], ""Semester 7"": [""EDCI 4500"", ""MATH 4019"", ""MATH 4*** (4000-level Math course not otherwise required) (3)"", ""Approved electives (5)""], ""Semester 8"": [""EDCI 4006"", ""EDCI 3136""]}",120,
184,Geology,Geology Minor,Minor,,"An undergraduate  minor in geology  is available (20 hours). Required courses are:  GEOL 1201    (or  GEOL 1001    and GEOL 1601   , or  GEOL 1002    and  GEOL 1601   ),  GEOL 1202    (or  GEOL 1003    and  GEOL 1602   , or  GEOL 1004    and  GEOL 1602   ), and 12 additional hours, of which at least six of the additional hours must be taken at the 3000 or 4000 level (excluding  GEOL 3909    and  GEOL 3999   ).",120,
185,ENVGEO,"Geology, B.S.Geol.",Major,Environmental Geology,"{""Semester 1"": [""CHEM 1201"", ""ENGL 1001"", ""GEOL 1201"", ""MATH 1550""], ""Semester 2"": [""CHEM 1202"", ""GEOL 1202"", ""MATH 1552"", ""BIOL 1001""], ""Semester 3"": [""GEOL 2900"", ""GEOL 2081"", ""PHYS 2110"", ""Humanities"", ""Social""], ""Semester 4"": [""ENGL 2000"", ""CSC 1240"", ""GEOL 2000-Level Course (3)"", ""PHYS 2112""], ""Semester 5"": [""GEOL 3032"", ""GEOL 3061"", ""PHYS 2113"", ""Humanities""], ""Semester 6"": [""GEOL 3041"", ""GEOL 3071"", ""Social"", ""Foreign Language Course (4)""], ""Semester 7"": [""GEOL 3666""], ""Semester 8"": [""Area of Concentration Courses (6)[3]"", ""Arts"", ""Free Electives (6)""], ""Semester 9"": [""Area of Concentration Course (6)[3]"", ""Free Electives (8)""]}",120,
186,GEOLP,"Geology, B.S.Geol.",Major,Geology,"{""Semester 1"": [""ENGL 1001"", ""CHEM 1201"", ""GEOL 1201"", ""MATH 1550""], ""Semester 2"": [""GEOL 1202"", ""MATH 1552"", ""PHYS 2001"", ""Foreign Language Course (4)""], ""Semester 3"": [""GEOL 2900"", ""GEOL 2081"", ""CSC 1240"", ""or equivalent"", ""BIOL 1001"", ""Social""], ""Semester 4"": [""ENGL 2000"", ""GEOL 2000-Level Course (3)"", ""PHYS 2002"", ""CHEM 1202"", ""Arts""], ""Semester 5"": [""GEOL 3032"", ""GEOL 3061"", ""Humanities"", ""Free Electives (3)""], ""Semester 6"": [""GEOL 3041"", ""GEOL 3071"", ""Social"", ""Humanities""], ""Semester 7"": [""GEOL 3666""], ""Semester 8"": [""Free Electives (6)"", ""GEOL 4000-level Courses (6)[3]""], ""Semester 9"": [""GEOL 4000-level Courses (6)[3]"", ""Free Electives (8)""]}",120,
187,GEOP,"Geology, B.S.Geol.",Major,Geophysics,"{""Semester 1"": [""CHEM 1201"", ""ENGL 1001"", ""GEOL 1201"", ""MATH 1550""], ""Semester 2"": [""CHEM 1202"", ""GEOL 1202"", ""MATH 1552"", ""BIOL 1001""], ""Semester 3"": [""CSC 1240"", """", ""MATH 2065"", ""MATH 2090"", """", ""GEOL 2900"", ""GEOL 2081"", ""PHYS 2110""], ""Semester 4"": [""ENGL 2000"", ""GEOL 2000-Level Course (3)"", ""PHYS 2112"", ""Free Electives (3)"", ""Social""], ""Semester 5"": [""GEOL 3032"", ""GEOL 3061"", ""PHYS 2113"", ""Humanities""], ""Semester 6"": [""GEOL 3041"", ""GEOL 3071"", ""Humanities"", ""Social""], ""Semester 7"": [""GEOL 3666""], ""Semester 8"": [""GEOL 4000-level Course (3)"", ""Area of Concentration Course (3)[3]"", ""Arts"", ""Foreign Language Course (4)""], ""Semester 9"": [""Area of Concentration Course (6)[3]"", ""Free Electives (8-7)""]}",120,
188,,"Geology, B.S.Geol.",Major,Geology and a Second Discipline,"{""Semester 1"": [""ENGL 1001"", ""CHEM 1201"", ""GEOL 1201"", ""MATH 1550""], ""Semester 2"": [""GEOL 1202"", ""CHEM 1202"", ""BIOL 1001"", ""Social""], ""Semester 3"": [""GEOL 2900"", ""PHYS 2001"", ""GEOL 2081"", ""Second Discipline Courses (6)[4]""], ""Semester 4"": [""CSC 1240"", ""EXST 2201"", """", ""PHYS 2002"", ""Second Discipline Courses (3)4""], ""Semester 5"": [""GEOL 3032"", ""GEOL 3061"", ""Social"", ""Arts""], ""Semester 6"": [""GEOL Elective Courses (6)[3]"", ""Second Discipline Courses (3)[4]"", ""Humanities"", ""Foreign Language Course (4)""], ""Semester 7"": [""GEOL Elective Courses (6)[3]"", ""Second Discipline Courses (9)[4]""], ""Semester 8"": [""GEOL Elective Courses (5)[3]"", ""Humanities"", ""Free Electives (8-9)""]}",120,
189,Chemistry,Chemistry Minor,Minor,,"Requirements are a minimum of 23 semester hours of chemistry:  CHEM 1201   ,  CHEM 1202   ,  CHEM 1212    (or  CHEM 1421   ,  CHEM 1422   ,  CHEM 1431   ) and a minimum of 15 semester hours at 2000 level or above. These additional 15 hours must include a two to three semester laboratory course and at least six semester hours at the 3000 level or above. The following courses cannot be taken to meet the requirements of the  minor in Chemistry :  CHEM 2900   ,  CHEM 3900   ,  CHEM 4003   , and  CHEM 4005   . Interested students should contact the Undergraduate Chemistry Office.",120,
190,CHEMA,"Chemistry, BA",Major,Chemistry,"{""Semester 1"": [""MATH 1550"", ""BIOL 1201"", ""ENGL 1001"", ""SCI 1001""], ""Semester 2"": [""CHEM 1212"", ""CHEM 1431"", """", ""MATH 1552"", ""Approved Free Elective (3)"", ""Arts""], ""Semester 3"": [""CHEM 2001"", ""CHEM 2002"", ""PHYS 2001"", ""PHYS 2108"", ""Social""], ""Semester 4"": [""CHEM 2364"", ""CHEM 2463"", """", ""PHYS 2002"", ""PHYS 2109"", ""ENGL 2000"", ""Approved Free Elective (3)""], ""Semester 5"": [""BIOL 2083"", ""BIOL 4087"", ""BIOL 4093"", """", ""Social"", ""Approved Free Electives (5-6)""], ""Semester 6"": [""CHEM 3490"", ""CHEM 4564"", ""Humanities"", ""Approved Free ElectiveS (6)""], ""Semester 7"": [""CHEM 4552"", ""Chemistry Elective (6)"", ""Foreign"", ""Approved Free Electives (3)""], ""Semester 8"": [""CHEM 4553"", ""Chemistry Elective (3)"", ""Humanities"", ""Approved Free Electives (7)""]}",120,
191,CHMPHA,"Chemistry, BA",Major,Pre-Health,"{""Semester 1"": [""MATH 1550"", ""BIOL 1201"", ""BIOL 1208"", ""ENGL 1001"", ""SCI 1001""], ""Semester 2"": [""CHEM 1212"", ""CHEM 1431"", """", ""BIOL 1202"", ""BIOL 1209"", ""MATH 1552"", ""Arts""], ""Semester 3"": [""PHYS 2001"", ""PHYS 2108"", ""BIOL 2051"", ""PSYC 2000""], ""Semester 4"": [""CHEM 2364"", ""CHEM 2463"", """", ""PHYS 2002"", ""PHYS 2109"", ""ENGL 2000"", ""BIOL 2153""], ""Semester 5"": [""CHEM 3570"", ""CHEM 2001"", ""CHEM 2002"", ""BIOL 4087"", ""SOCL 2001""], ""Semester 6"": [""CHEM 3490"", ""CHEM 4564"", ""Humanities"", ""Approved Free Electives (3)""], ""Semester 7"": [""CHEM 4552"", ""Chemistry Elective (3)"", ""Foreign"", ""Approved Free Electives (6)""], ""Semester 8"": [""CHEM 4553"", ""Chemistry Elective (3)"", ""Humanities"", ""Approved Free Electives (8)""]}",120,
192,BCHEM,"Chemistry, B.S.",Major,Biological Chemistry,"{""Semester 1"": [""BIOL 1201"", ""BIOL 1208"", ""ENGL 1001"", ""MATH 1550"", """", ""CHEM 1201"", ""CHEM 1421"", """", ""Approved Free Elective (1)""], ""Semester 2"": [""BIOL 1202"", ""BIOL 1209"", """", ""CHEM 1202"", ""CHEM 1422"", """", ""CHEM 1212"", ""CHEM 1431"", """", ""MATH 1552"", ""Arts""], ""Semester 3"": [""CHEM 2261"", ""CHEM 2461"", """", ""BIOL 2153"", ""PHYS 2110"", ""PHYS 2108"", ""Social""], ""Semester 4"": [""ENGL 2000"", ""MATH 2057"", ""PHYS 2113"", ""PHYS 2109"", """", ""CHEM 2262"", ""CHEM 2462"", """", ""CHEM 2364"", ""CHEM 2463""], ""Semester 5"": [""CHEM 2001"", ""CHEM 2002"", ""CHEM 3491"", ""BIOL 4093"", ""Social"", ""Approved Free Elective (3)""], ""Semester 6"": [""CHEM 3492"", ""CHEM 3493"", ""CHEM 3900"", ""BIOL 4094"", ""Humanities""], ""Semester 7"": [""CHEM 4552"", ""CHEM 4564"", ""CHEM 3570"", ""First Course in Foreign Language Sequence (4)"", ""Approved Free Electives (3)""], ""Semester 8"": [""BIOL 4385"", ""CHEM 4553"", ""Humanities"", ""Approved Free Electives (5)""]}",120,
193,CHEMA,"Chemistry, B.S.",Major,Chemistry,"{""Semester 1"": [""BIOL 1201"", ""ENGL 1001"", ""MATH 1550"", """", ""CHEM 1201"", ""CHEM 1421"", """", ""Approved Free Elective (1)""], ""Semester 2"": [""MATH 1552"", """", ""CHEM 1202"", ""CHEM 1422"", """", ""CHEM 1212"", ""CHEM 1431"", """", ""Approved Free Elective (3)"", ""Arts""], ""Semester 3"": [""CHEM 2001"", ""CHEM 2002"", ""PHYS 2110"", ""PHYS 2108"", """", ""CHEM 2261"", ""CHEM 2461"", """", ""Social""], ""Semester 4"": [""ENGL 2000"", ""MATH 2057"", ""PHYS 2113"", ""PHYS 2109"", """", ""CHEM 2262"", ""CHEM 2462"", """", ""CHEM 2364"", ""CHEM 2463""], ""Semester 5"": [""BIOL 2083"", ""CHEM 3570"", ""CHEM 3491"", ""CHEM 4564"", ""Social""], ""Semester 6"": [""CHEM 3492"", ""CHEM 3493"", ""CHEM 3900"", ""Humanities"", ""Approved Free Elective (3)""], ""Semester 7"": [""CHEM 4570"", ""CHEM 4571"", """", ""Chemistry Elective (3)[3]"", ""First Course in Foreign Language Sequence (4)"", ""Approved Free Elective (3)""], ""Semester 8"": [""CHEM 4553"", ""Chemistry Elective (3)[3]"", ""Humanities"", ""Approved Free Electives (8)""]}",120,
